Regio's;Perioden;aantal;in % van  inwoners 15 jaar of ouder;aantal;km²;km²
Aa en Hunze;2018;25390;29,8;21210;276,09;2,79
Aalburg;2018;13153;29,9;8720;50,41;2,77
Aalsmeer;2018;31499;35,4;2900;20,12;12,17
Aalten;2018;26962;33,7;7820;96,54;0,52
Ter Aar;2018;;;;;
Aarle-Rixtel;2018;;;;;
Abcoude;2018;;;;;
Achtkarspelen;2018;27935;33,3;15700;102,23;1,75
Akersloot;2018;;;;;
Alblasserdam;2018;20014;29,3;200;8,78;1,28
Albrandswaard;2018;25218;32,7;860;21,69;2,07
Alkemade;2018;;;;;
Alkmaar;2018;108470;39,7;8530;110,46;6,89
Almelo;2018;72629;35,2;4590;67,27;2,14
Almere;2018;203990;40,7;7060;129,19;119,58
Alphen aan den Rijn;2018;109682;35,2;10470;126,23;6,26
Alphen en Riel;2018;;;;;
Alphen-Chaam;2018;10083;31,4;10080;93,04;0,48
Altena;2018;;;;;
Ambt Delden;2018;;;;;
Ambt Montfort;2018;;;;;
Ameland;2018;3654;34,0;3650;59,11;209,39
Amerongen;2018;;;;;
Amersfoort;2018;155226;39,0;2420;62,62;1,24
Ammerzoden;2018;;;;;
Amstelveen;2018;89870;39,0;1570;41,13;2,95
Amsterdam;2018;854047;58,0;4060;165,50;53,99
Andijk;2018;;;;;
Angerlo;2018;;;;;
Anloo;2018;;;;;
Anna Paulowna;2018;;;;;
Apeldoorn;2018;161156;34,8;21090;339,89;1,25
Appingedam;2018;11801;32,3;690;23,78;0,80
Arcen en Velden;2018;;;;;
Arnemuiden;2018;;;;;
Arnhem;2018;157223;48,1;2830;97,82;3,72
Assen;2018;67708;36,1;4900;81,89;1,57
Asten;2018;16719;34,1;4510;70,17;1,17
Avereest;2018;;;;;
Axel;2018;;;;;
Baarle-Nassau;2018;6799;31,2;3420;76,14;0,15
Baarn;2018;24630;35,6;1510;32,54;0,47
Bakel en Milheeze;2018;;;;;
Barendrecht;2018;48477;32,4;310;19,75;1,98
Barneveld;2018;57339;30,1;17710;175,90;0,76
Bathmen;2018;;;;;
Bedum;2018;10475;32,9;2960;44,54;0,41
Beek (L.);2018;15895;30,0;4440;21,03;0,00
Beek en Donk;2018;;;;;
Beekdaelen;2018;;;;;
Beemster;2018;9550;35,4;3500;70,58;1,49
Beesel;2018;13444;30,1;3510;27,99;1,17
Beilen;2018;;;;;
Belfeld;2018;;;;;
Bellingwedde;2018;;;;;
Bemmel;2018;;;;;
Bennebroek;2018;;;;;
Berg en Dal;2018;34748;34,2;13810;86,35;6,96
Bergambacht;2018;;;;;
Bergeijk;2018;18398;32,0;10460;101,00;0,75
Bergen (L.);2018;13106;32,0;9030;103,24;5,25
Bergen (NH.);2018;29941;31,9;7970;98,96;21,27
Bergen op Zoom;2018;66354;32,1;3700;79,96;13,17
Bergeyk;2018;;;;;
Bergh;2018;;;;;
Bergschenhoek;2018;;;;;
Berkel en Rodenrijs;2018;;;;;
Berkel-Enschot;2018;;;;;
Berkelland;2018;44032;31,9;15710;258,06;2,15
Berlicum;2018;;;;;
Bernheze;2018;30550;33,6;10150;89,73;0,68
Bernisse;2018;;;;;
Best;2018;29497;33,2;2070;34,30;0,80
Beuningen;2018;25798;33,6;8150;43,65;3,44
